Team,FDCOUK,City,Stadium,Capacity,Latitude,Longitude,Country
Brighton & Hove Albion,Brighton,Brighton,Amex Stadium,22374,50.861822,-0.083278,England
Liverpool,Liverpool,Liverpool,Anfield,45276,53.430819,-2.960828,England
Bristol City,Bristol City,Bristol,Ashton Gate,21497,51.44,-2.620278,England
Blackpool,Blackpool,Blackpool,Bloomfield Road,16220,53.804722,-3.048056,England
West Ham United,West Ham,London,Boleyn Ground,35303,51.531944,0.039444,England
Sheffield United,Sheffield United,Sheffield United,Bramall Lane,31884,53.370278,-1.470833,England
Stoke City,Stoke,Stoke-on-Trent,Britannia Stadium,27740,52.988333,-2.175556,England
Cardiff City,Cardiff,Cardiff,Cardiff City Stadium,26828,51.472778,-3.203056,England
Norwich City,Norwich,Norwich,Carrow Road,27010,52.622128,1.308653,England
Nottingham Forest,Nott'm Forest,Nottingham,The City Ground,30576,52.94,-1.132778,England
Fulham,Fulham,London,Craven Cottage,25700,51.475,-0.221667,England
Wigan Athletic,Wigan,Wigan,DW Stadium,25133,53.547778,-2.653889,England
Leeds United,Leeds,Leeds,Elland Road,39460,53.777778,-1.572222,England
Arsenal,Arsenal,London,Emirates Stadium,60361,51.555,-0.108611,England
Manchester City,Man City,Manchester,Etihad Stadium,47405,53.482989,-2.200292,England
Blackburn Rovers,Blackburn,Blackburn,Ewood Park,31154,53.728611,-2.489167,England
Portsmouth,Portsmouth,Portsmouth,Fratton Park,20224,50.796389,-1.063889,England
Everton,Everton,Liverpool,Goodison Park,40157,53.438889,-2.966389,England
Brentford,Brentford,Brentford,Gtech Community Stadium,17250,51.490833,-0.288611,England
Hull City,Hull,Kingston upon Hull,KC Stadium,25404,53.746111,-0.367778,England
Doncaster Rovers,Doncaster,Doncaster,Keepmoat Stadium,15231,53.509722,-1.113889,England
Leicester City,Leicester,Leicester,King Power Stadium,32500,52.620278,-1.142222,England
Swansea City,Swansea,Swansea,Liberty Stadium,20520,51.6422,-3.9351,England
Queens Park Rangers,QPR,London,Loftus Road,18439,51.509167,-0.232222,England
Peterborough United,Peterboro,Peterborough,London Road Stadium,15460,52.564697,-0.240406,England
Reading,Reading,Reading,Madejski Stadium,24224,51.422222,-0.982778,England
Wolverhampton Wanderers,Wolves,Wolverhampton,Molineux Stadium,27828,52.590278,-2.130278,England
Barnsley,Barnsley,Barnsley,Oakwell,23009,53.552222,-1.4675,England
Manchester United,Man United,Stretford,Old Trafford,75811,53.463056,-2.291389,England
Ipswich Town,Ipswich,Ipswich,Portman Road,30311,52.055061,1.144831,England
Derby County,Derby,Derby,Pride Park Stadium,33597,52.915,-1.447222,England
Bolton Wanderers,Bolton,Bolton,Reebok Stadium,28100,53.580556,-2.535556,England
Coventry City,Coventry,Coventry,Ricoh Arena,32609,52.448056,-1.495556,England
Middlesbrough,Middlesbrough,Middlesbrough,Riverside Stadium,34988,54.578333,-1.216944,England
Crystal Palace,Crystal Palace,London,Selhurst Park,26309,51.398333,-0.085556,England
Birmingham City,Birmingham,Birmingham,St Andrew's Stadium,30079,52.475703,-1.868189,England
Southampton,Southampton,Southampton,St Mary's Stadium,32689,50.905833,-1.391111,England
Newcastle United,Newcastle,Newcastle upon Tyne,St. James' Park,52409,54.975556,-1.621667,England
Sunderland,Sunderland,Sunderland,Stadium of Light,48707,54.9144,-1.3882,England
Chelsea,Chelsea,London,Stamford Bridge,42449,51.481667,-0.191111,England
Millwall,Millwall,London,The Den,20146,51.485953,-0.05095,England
West Bromwich Albion,West Brom,West Bromwich,The Hawthorns,27877,52.509167,-1.963889,England
Burnley,Burnley,Burnley,Turf Moor,22546,53.789167,-2.230278,England
Watford,Watford,Watford,Vicarage Road,23500,51.649836,-0.401486,England
Aston Villa,Aston Villa,Birmingham,Villa Park,42785,52.509167,-1.884722,England
Bournemouth,Bournemouth,Bournemouth,Vitality Stadium,11307,50.735278,-1.838333,England
Tottenham Hotspur,Tottenham,London,White Hart Lane,36230,51.603333,-0.065833,England
